employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months
EMP100072,Nugroho Hartanto,161630,2,1,3,5,3,1,1,3,6,45
EMP100073,Dimas Halim Ananda,972245,2,3,3,3,5,1,3,3,1,85
EMP100074,Ari Utama Putra,100945,4,1,2,1,3,2,3,1,3,32
EMP100075,Rizki Halim Zulfikar,290052,3,1,5,4,5,3,1,4,4,24
EMP100076,Rizki Wijaya,458782,1,3,6,5,4,2,1,3,1,4
EMP100077,Novi Setiawan,115692,3,4,3,3,1,3,1,3,5,35
EMP100078,Indra Anggara,811320,1,1,6,3,1,3,3,4,1,39
EMP100079,Novi Hasibuan,298849,4,4,3,3,4,1,1,1,5,67
EMP100080,Andi Mahardika Handayani,274945,2,1,2,3,3,3,2,4,2,43
EMP100081,Ari Yulianto,447230,1,4,6,1,3,3,3,3,3,85
EMP100082,Budi Dharma Lukman,247239,3,4,1,3,2,3,3,4,1,63
EMP100083,Rizka Erlangga Subekti,286153,1,3,6,6,1,3,2,4,1,19
EMP100084,Dian Rachman Handayani,735572,1,3,6,2,1,3,2,1,2,16
EMP100085,Ahmad Rohman,540638,2,4,2,3,4,2,3,2,1,22
EMP100086,Rani Syahputra,503804,3,3,4,6,5,1,3,3,3,23
EMP100087,Rizka Ananda,649357,2,1,1,6,2,2,3,3,3,12
EMP100088,Nadia Saputra Mahendra,192144,2,4,3,2,4,1,1,3,6,38
EMP100089,Umar Simanjuntak,179520,1,2,5,4,3,3,3,2,4,56
EMP100090,Maya Pratomo,304860,2,4,6,5,4,2,2,2,5,27
EMP100091,Oka Candra Firmansyah,109937,4,1,3,3,1,1,2,3,1,10
EMP100092,Ahmad Indrawan,810984,2,1,2,4,1,3,3,2,2,68
EMP100093,Nadia Lestari Utami,218189,1,1,2,5,3,3,2,2,6,57
EMP100094,Nadia Utama Yulianto,838236,4,1,1,3,3,3,1,2,4,33
EMP100095,Fitri Pamungkas,186709,2,4,3,4,5,2,2,3,5,41
EMP100096,Rama Dharma Wibowo,349891,4,3,2,6,2,1,2,3,4,77
EMP100097,Valdo Subekti,922054,1,1,6,2,1,3,1,2,3,64
EMP100098,Indra Hidayat,843650,3,4,3,3,1,1,3,2,1,57
EMP100099,Tania Suharto,635643,3,4,4,4,2,2,1,2,6,46
EMP100100,Intan Rachman Suharto,198295,4,4,1,4,1,1,2,1,2,55
EMP100101,Yoga Pratomo,264764,3,1,4,1,1,2,3,4,5,51
EMP100102,Dinda Permadi,342888,1,2,3,6,1,3,1,3,3,22
EMP100103,Ayu Ginting,310700,4,1,2,3,1,3,2,1,1,32
EMP100104,Budi Pratama,642860,4,4,4,3,3,2,1,4,6,81
EMP100105,Maya Yulianto,653381,2,1,1,4,4,2,1,4,1,16
EMP100106,Valdo Wijaya Wijaya,335938,3,3,1,6,5,3,3,4,1,64
EMP100107,Dian Fauziah,273235,4,2,4,5,3,1,2,4,4,45
EMP100108,Dinda Erlangga Handayani,455098,4,2,3,3,5,3,2,2,6,58
EMP100109,Dinda Wibowo,127614,3,1,2,3,4,3,3,4,4,55
EMP100110,Citra Hartanto,528735,3,2,5,3,5,2,3,3,4,46
EMP100111,Rendra Herlambang,510681,2,2,3,6,4,1,3,3,5,44
EMP100112,Adit Mahardika Pratama,874330,4,4,3,1,4,3,1,1,3,36
EMP100113,Iman Rachman Rahmawati,313238,1,4,1,6,3,1,2,1,5,55
EMP100114,Vania Fadillah Fauziah,475116,2,2,4,4,5,2,2,4,2,15
EMP100115,Satya Yudhistira Lukman,804211,2,1,1,2,4,2,1,3,4,41
EMP100116,Bayu Ridwan,747077,2,2,6,4,3,2,3,2,5,50
EMP100117,Prasetyo Gunawan,362939,4,4,4,6,2,2,2,2,6,39
EMP100118,Julia Pramudita Hartanto,244488,4,4,4,2,5,3,3,2,4,53
EMP100119,Iman Ginting,562438,2,2,6,1,3,1,2,2,3,1
EMP100120,Iman Maulida,949849,4,2,2,1,2,1,2,1,3,52
EMP100121,Bayu Hidayat,174665,1,3,4,3,2,3,1,2,4,56
EMP100122,Rizki Simanjuntak,580039,2,3,6,4,1,3,3,2,2,10
EMP100123,Kurnia Jatmiko Permadi,557929,2,1,5,2,1,1,2,4,2,54
EMP100124,Maya Nabila Salsabila,614276,2,4,2,4,5,2,1,1,2,52
EMP100125,Nabila Lestari Santoso,500320,2,4,5,1,3,2,3,1,1,45
EMP100126,Vania Siregar,549217,3,4,5,5,1,3,3,3,3,67
EMP100127,Lestari Gunawan,809952,1,3,6,4,1,1,3,3,6,26
EMP100128,Ahmad Siregar,282135,1,1,4,6,4,2,2,2,3,58
EMP100129,Dian Utama Kusuma,445242,4,4,2,1,1,1,2,3,2,17
EMP100130,Citra Rahmawati,328046,2,3,1,1,2,3,1,4,3,68
EMP100131,Ayunda Adi Hartanto,190746,1,1,4,5,4,1,3,3,3,58
EMP100132,Maya Ramadhan,378744,1,2,2,5,4,2,3,2,6,46
EMP100133,Rendra Handayani,851667,2,2,4,2,1,3,1,3,1,30
EMP100134,Rifqi Wijaya,526403,4,2,5,3,5,2,1,1,5,61
EMP100135,Indra Wijaya Ridwan,738691,1,3,4,1,5,3,1,1,6,14
EMP100136,Maya Pradana,517117,3,2,2,2,2,1,1,1,6,76
EMP100137,Rizky Jatmiko Hasibuan,553122,1,2,1,5,4,2,1,1,1,124
EMP100138,Rani Zulfikar,432483,2,1,3,4,1,2,3,4,5,42
EMP100139,Nadia Herlambang,982093,1,2,4,4,2,3,3,2,3,78
EMP100140,Yuni Siregar,998756,4,2,6,3,2,1,1,4,6,54
EMP100141,Fitri Utami,861763,4,3,6,2,1,3,3,3,1,67
EMP100142,Indra Putra,749034,1,3,4,4,1,3,1,1,5,64
EMP100143,Nadia Pramudita Wibowo,895607,1,3,2,5,3,3,2,2,3,22
EMP100144,Bella Nabila Purnama,423266,2,2,4,2,1,3,2,2,6,20
EMP100145,Novi Purnama,148545,3,1,5,1,4,1,1,4,5,41
EMP100146,Maya Wijaya,249743,2,4,5,5,1,2,1,1,5,35
EMP100147,Hana Ridwan,335078,4,3,6,2,5,1,2,2,6,7
EMP100148,Galih Zulfikar Hasibuan,703594,2,1,1,5,4,1,1,4,2,100
EMP100149,Teguh Saputra Hasibuan,512914,4,2,4,5,2,3,1,4,3,60
EMP100150,Hadi Hasibuan,207057,3,3,1,5,1,1,3,3,6,69
EMP100151,Wahyu Permadi,332971,4,1,3,6,5,3,1,4,1,42
EMP100152,Satya Siregar,645559,3,4,2,2,5,3,3,2,5,59
EMP100153,Arif Herlambang,692402,4,1,3,2,3,3,1,3,6,66
EMP100154,Kurnia Maulida,876199,1,2,2,1,1,2,2,4,4,39
EMP100155,Citra Jatmiko Siregar,846042,1,3,3,4,3,3,1,4,2,74
EMP100156,Yoga Anugrah Lestari,302014,2,1,4,3,2,3,1,4,1,66
EMP100157,Maya Zulfikar Purnama,229728,2,1,1,2,2,2,3,1,2,15
EMP100158,Lestari Syahputra,659507,3,1,4,3,5,1,3,2,6,20
EMP100159,Nabila Mahendra,773399,4,3,4,1,5,2,3,1,5,45
EMP100160,Nugroho Rachman Salsabila,260531,4,1,1,6,1,2,2,4,4,83
EMP100161,Wulan Saputra Pratama,937812,4,2,6,3,5,3,1,2,4,78
EMP100162,Eko Adi Permadi,635327,3,2,5,5,3,1,2,4,5,38
EMP100163,Oktavia Pramudita Sinaga,411227,2,4,2,6,2,3,1,3,2,74
EMP100164,Wahyu Iqbal Pratomo,906701,4,4,2,3,5,2,1,2,5,81
EMP100165,Kurnia Nugroho,272376,4,4,6,1,5,1,3,3,6,18
EMP100166,Wahyu Yulianto,212302,2,3,4,4,3,3,1,3,3,34
EMP100167,Eko Zulfikar,595197,3,2,4,2,5,3,1,3,2,84
EMP100168,Wahyu Rachman Utami,459611,1,2,3,2,4,1,3,2,3,77
EMP100169,Intan Permadi,292727,2,4,4,3,3,2,2,2,6,55
EMP100170,Dinda Wijaya Zulfikar,889308,4,4,1,4,1,3,1,1,5,103
EMP100171,Nadia Yulianto,164530,1,1,2,3,5,3,3,3,2,44
EMP100172,Dinda Ridwan,746866,3,4,6,3,2,1,3,3,6,15
EMP100173,Ahmad Wijaya,181237,4,3,6,6,5,2,3,3,1,81
EMP100174,Ayunda Nabila Ramadhan,137718,3,4,5,4,3,2,2,3,5,74
EMP100175,Budi Hasibuan,757262,1,2,2,5,4,1,1,4,6,28
EMP100176,Fajar Firmansyah,952140,3,3,6,3,3,1,1,1,4,10
EMP100177,Rama Mahardika Wijaya,228799,2,1,5,6,4,1,3,3,4,19
EMP100178,Nurlita Siregar,371453,3,3,4,1,2,3,1,2,3,56
EMP100179,Andi Santoso,255408,2,1,5,4,5,2,3,3,3,41
EMP100180,Evi Kurniawan,281925,2,1,1,1,1,2,1,4,4,44
EMP100181,Dewi Mahardika Salsabila,564954,1,2,4,4,5,1,1,4,3,63
EMP100182,Joko Kusuma Maulana,980488,3,3,4,4,5,3,1,2,6,49
EMP100183,Valdo Herlambang,212000,1,1,2,4,5,2,3,4,6,16
EMP100184,Rizka Pamungkas,270387,4,3,3,1,5,2,3,3,2,62
EMP100185,Yuni Anugrah Subekti,360441,3,1,6,2,4,2,2,3,1,59
EMP100186,Rizki Halim,489939,3,4,3,5,3,3,2,2,6,59
EMP100187,Ayu Tamba,561710,2,4,6,6,5,2,1,2,1,39
EMP100188,Novi Pramudita Syahputra,711579,3,3,1,1,4,3,3,3,1,7
EMP100189,Andi Ganesha Hartanto,355817,3,3,1,3,2,2,3,4,6,78
EMP100190,Kartika Santoso,820251,2,1,5,6,3,3,1,3,6,45
EMP100191,Cahyo Wijaya,731090,3,1,5,1,4,1,1,2,4,61
EMP100192,Yoga Handayani,437723,3,1,5,2,5,3,2,3,6,86
EMP100193,Kurnia Anugrah Kurniawan,263702,4,2,5,2,1,1,1,4,1,38
EMP100194,Arif Hasibuan,345752,3,2,1,3,1,1,2,1,2,41
EMP100195,Fitri Purnama,395742,3,3,3,6,1,1,2,4,3,29
EMP100196,Kurnia Situmorang,229790,3,3,2,4,4,1,3,4,3,34
EMP100197,Fitri Santoso,895048,1,4,4,5,4,1,3,1,3,15
EMP100198,Citra Baskara Suharto,693575,2,4,1,2,1,3,2,1,4,66
EMP100199,Valdo Zulfikar Halim,571816,1,3,1,5,2,3,2,3,4,70
EMP100200,Lestari Pratomo,560557,4,1,5,2,2,2,2,2,3,46
EMP100201,Gita Ganesha Santoso,960157,4,2,1,5,4,3,3,2,5,29
EMP100202,Rizky Anugrah Suharto,899344,3,3,4,3,2,1,1,1,3,26
EMP100203,Teguh Kusuma Siregar,261676,1,3,1,5,3,2,1,1,4,46
EMP100204,Utami Candra Ginting,744103,1,4,4,4,5,2,1,2,3,75
EMP100205,Vania Adi Nugroho,360370,4,3,3,2,4,1,3,2,5,12
EMP100206,Sari Pratomo,360509,1,4,4,6,1,2,3,1,3,38
EMP100207,Lestari Qolbi Setiawan,214779,1,2,1,1,4,3,2,1,3,54
EMP100208,Hadi Tri Maulida,256506,3,3,1,6,2,3,2,1,2,79
EMP100209,Nugroho Pamungkas,244390,2,2,6,6,1,2,1,4,5,45
EMP100210,Zaki Jatmiko Sinaga,141771,1,4,4,4,1,3,2,4,3,56
EMP100211,Dian Tri Pratomo,642425,3,1,1,3,4,3,1,4,5,38
EMP100212,Galih Kurniawan,286882,3,1,5,5,5,3,3,3,4,14
EMP100213,Rizky Permadi,636241,4,2,4,6,2,2,3,3,1,59
EMP100214,Oktavia Subekti,709787,1,1,5,4,4,2,3,2,1,16
EMP100215,Valdo Wijaya,822227,2,2,1,1,3,1,1,3,4,97
EMP100216,Sari Ananda,408721,4,1,5,6,5,1,2,4,4,10
EMP100217,Luthfi Purnama,738931,2,3,1,5,4,3,1,1,2,35
EMP100218,Ayu Lukman,945788,4,4,2,6,1,2,2,3,1,35
EMP100219,Julia Kusuma Santoso,398604,3,1,5,5,3,2,2,1,4,14
EMP100220,Rizka Adi Setiawan,454642,2,2,6,6,3,3,1,4,5,63
EMP100221,Dimas Qolbi Maulana,565432,4,4,2,3,3,3,1,1,1,3
EMP100222,Luthfi Wijaya,476268,2,3,1,1,4,2,2,3,1,88
EMP100223,Utami Mahardika Rohman,812910,4,3,2,3,4,3,3,4,3,2
EMP100224,Rafa Maulida,414878,1,2,4,2,1,1,3,1,4,75
EMP100225,Fajar Purnama,410679,3,1,6,3,1,1,3,3,2,48
EMP100226,Nabila Simanjuntak,407321,2,1,4,3,1,1,1,2,4,11
EMP100227,Wulan Suharto,836120,2,4,1,6,4,3,2,2,4,61
EMP100228,Satya Candra Handayani,827729,4,2,2,2,4,1,2,2,4,53
EMP100229,Rizki Putra,636376,2,2,6,5,5,3,3,3,5,22
EMP100230,Eko Indrawan,222544,4,4,1,2,1,3,2,2,4,91
EMP100231,Satya Halim Hidayat,732788,3,4,1,3,5,1,2,2,3,17
EMP100232,Zaki Ridwan,501019,1,1,1,4,4,3,3,3,2,65
EMP100233,Utami Iqbal Gunawan,240856,2,4,6,5,4,3,2,4,6,66
EMP100234,Galih Jatmiko Maulana,213578,4,2,6,3,2,3,2,4,5,19
EMP100235,Bayu Maulida,886319,4,3,6,6,2,1,2,3,2,36
EMP100236,Teguh Santoso,274035,1,3,4,5,4,3,1,3,4,20
EMP100237,Sari Halim Siregar,225799,4,3,2,5,5,3,3,3,1,36
EMP100238,Dewi Siregar,729851,1,3,1,4,3,1,1,3,1,98
EMP100239,Dimas Sinaga,307781,1,2,1,4,3,1,2,3,6,16
EMP100240,Oktavia Hartanto,589164,1,3,1,2,5,3,1,3,1,19
EMP100241,Sari Saputra Lukman,692319,4,2,6,4,2,1,2,1,6,81
EMP100242,Rifqi Pamungkas,761064,4,1,2,5,2,2,2,2,3,52
EMP100243,Sari Yudhistira Setiawan,828379,2,3,2,2,2,2,1,4,5,40
EMP100244,Zaki Suharto,107836,1,2,3,3,4,1,2,3,4,85
EMP100245,Budi Kurniawan,773435,2,1,3,4,1,2,2,2,4,79
EMP100246,Rizky Subekti,415281,1,1,3,3,3,3,1,2,2,28
EMP100247,Hadi Ganesha Wijaya,546699,1,1,1,3,1,3,3,1,5,59
EMP100248,Ahmad Erlangga Siregar,937306,2,3,1,5,1,2,2,3,4,7
EMP100249,Evi Ridwan,878002,4,4,2,6,2,3,1,1,5,82
EMP100250,Arif Mahardika Kusuma,284620,4,2,1,1,4,1,3,4,6,56
EMP100251,Vania Halim Santoso,686738,1,3,3,3,5,3,2,2,5,25
EMP100252,Wulan Adi Mahendra,178638,2,2,6,5,3,3,1,1,5,65
EMP100253,Putri Kusuma,728438,2,2,2,5,5,2,2,2,6,83
EMP100254,Wulan Salsabila,372212,1,4,1,3,2,3,1,1,6,55
EMP100255,Cahyo Anggara,299456,3,3,2,2,1,2,2,2,4,49
EMP100256,Maya Dharma Pamungkas,372471,3,4,2,6,3,1,2,3,2,54
EMP100257,Zahra Aji Zulfikar,761892,2,1,3,4,1,2,3,4,6,85
EMP100258,Fitri Adi Maulana,987651,1,3,4,5,3,1,1,1,1,4
EMP100259,Gita Ridwan,873855,2,1,6,5,3,3,3,1,6,52
EMP100260,Ahmad Pramudita Siregar,774643,4,4,2,5,1,2,2,1,4,88
EMP100261,Valdo Gunawan,998529,1,1,1,5,5,3,1,2,1,42
EMP100262,Iman Baskara Saputra,712560,1,2,4,2,4,1,2,3,1,55
EMP100263,Maya Handayani,335338,2,4,1,6,2,1,2,2,4,70
EMP100264,Citra Utami,662357,2,1,1,5,5,3,2,3,3,95
EMP100265,Citra Yulianto,688712,4,1,3,3,4,3,1,3,5,47
EMP100266,Prasetyo Firmansyah,672031,2,1,6,2,5,1,3,1,4,49
EMP100267,Nurlita Saputra Sinaga,872771,4,1,4,4,1,1,2,2,2,61
EMP100268,Nadia Tri Fauziah,935756,1,3,5,2,2,1,1,1,3,73
EMP100269,Zahra Pramudita Kusuma,772941,2,1,1,1,3,2,2,1,3,81
EMP100270,Rani Aji Setiawan,325137,2,1,5,3,2,1,2,2,4,53
EMP100271,Rani Nugroho,504606,2,3,4,6,1,1,2,4,2,102
EMP100272,Yoga Qolbi Herlambang,509363,1,1,6,5,5,1,3,3,2,60
EMP100273,Rani Wibowo,313299,4,1,1,4,3,2,2,2,3,48
EMP100274,Nabila Anugrah Gunawan,489184,2,1,6,5,5,3,2,3,4,34
EMP100275,Evi Maulana,622572,1,3,5,3,2,1,2,2,3,58
EMP100276,Maya Fauziah,204779,3,2,2,4,4,1,1,1,1,47
EMP100277,Nadia Handayani,161543,3,2,1,5,2,3,1,1,1,31
EMP100278,Tania Qolbi Lukman,392035,2,3,2,6,3,3,1,1,2,57
EMP100279,Julia Wibowo,344811,2,2,1,1,2,1,1,3,6,73
EMP100280,Yuni Nabila Handayani,934524,3,2,4,2,2,3,3,1,6,72
EMP100281,Bella Qolbi Ridwan,924171,3,3,5,5,1,3,2,1,6,29
EMP100282,Indra Siregar,149631,4,4,4,1,4,2,3,2,4,35
EMP100283,Wahyu Anggara,567119,3,3,5,5,3,1,1,4,2,39
EMP100284,Julia Maulana,793398,3,2,1,2,2,3,2,4,5,27
EMP100285,Adi Mahardika Setiawan,651681,3,2,4,3,1,3,2,2,4,15
EMP100286,Hana Wijaya Anggara,712677,4,1,3,2,4,3,3,2,3,24
EMP100287,Bella Mahendra,574973,1,4,2,5,5,3,1,3,1,18
EMP100288,Budi Rachman Ramadhan,264342,4,2,5,3,3,2,2,3,3,54
EMP100289,Teguh Hasibuan,306961,4,1,1,2,4,1,2,3,5,6
EMP100290,Ahmad Mahardika Firmansyah,971323,4,4,1,5,3,2,2,1,2,19
EMP100291,Cahyo Pratomo,508086,3,2,1,2,4,1,1,1,5,20
EMP100292,Wahyu Halim Zulfikar,883265,4,4,4,6,2,3,2,2,3,2
EMP100293,Sari Fadillah Mahendra,992880,2,1,5,6,3,3,2,1,2,88
EMP100294,Fitri Dharma Hidayat,354680,2,2,5,6,5,1,3,3,5,65
EMP100295,Hadi Dharma Siregar,759978,3,3,5,3,5,3,1,2,3,33
EMP100296,Bayu Nugroho,234846,1,3,3,3,1,3,2,2,3,49
EMP100297,Yoga Salsabila,139161,1,2,6,5,5,2,3,1,1,65
EMP100298,Yuni Iqbal Saputra,364358,3,2,5,3,5,3,2,3,3,65
EMP100299,Fajar Rachman Ridwan,970290,2,1,3,3,5,3,3,2,1,13
EMP100300,Rama Lukman,997537,3,1,6,2,5,3,2,1,5,25
EMP100301,Rama Zulfikar,994634,2,1,4,6,3,3,2,2,6,31
EMP100302,Rizky Ginting,742035,2,2,6,3,5,2,3,4,2,3
EMP100303,Bayu Wijaya Maulida,548503,2,4,6,2,5,3,3,2,1,95
EMP100304,Valdo Halim,860350,2,4,3,4,1,2,2,1,4,49
EMP100305,Indra Herlambang,561242,1,2,5,6,2,2,1,3,3,68
EMP100306,Dinda Kusuma Ananda,169031,4,4,2,1,3,2,1,4,2,24
EMP100307,Sari Indrawan,969311,4,3,4,4,4,3,2,3,2,29
EMP100308,Nugroho Subekti,490001,2,2,3,5,2,3,3,1,2,52
EMP100309,Valdo Ridwan,581369,4,3,2,5,5,3,3,3,5,61
EMP100310,Rendra Pradana,470444,4,3,4,2,2,1,3,4,1,49
EMP100311,Maya Pramudita Zulfikar,192380,4,3,6,3,4,2,3,4,3,62
EMP100312,Maya Lestari,273935,1,1,6,4,1,2,2,4,5,20
EMP100313,Budi Qolbi Hidayat,928862,1,3,2,3,4,3,1,3,4,50
EMP100314,Yuni Herlambang,183351,4,1,2,3,4,3,1,1,4,14
EMP100315,Rama Kusuma,705053,1,2,2,1,5,3,1,4,4,70
EMP100316,Joko Siregar,586510,3,1,6,5,4,3,1,1,3,40
EMP100317,Budi Herlambang,982097,4,4,6,5,1,3,2,3,6,76
EMP100318,Rafa Lestari Fauziah,189958,3,3,3,4,1,3,1,4,1,31
EMP100319,Valdo Anugrah Ramadhan,956018,4,3,5,1,4,3,2,4,4,101
EMP100320,Budi Hartanto,684733,2,4,3,3,3,3,2,1,3,25
EMP100321,Wulan Iqbal Herlambang,615567,2,1,1,3,5,2,3,3,1,42
EMP100322,Rizka Pramudita Suharto,975189,2,3,6,2,5,2,2,3,2,56
EMP100323,Umar Indrawan,930718,4,1,2,1,1,3,3,2,6,8
EMP100324,Intan Halim,519062,2,4,4,2,3,3,1,3,5,48
EMP100325,Wahyu Kusuma Hartanto,242437,1,3,2,5,5,1,3,4,2,34
EMP100326,Rizka Qolbi Mahendra,978884,2,4,4,5,2,3,1,3,6,55
EMP100327,Vania Rachman Utami,230456,4,1,3,1,4,3,1,3,5,86
EMP100328,Tania Yudhistira Simanjuntak,949570,2,1,6,1,3,3,2,2,6,37
EMP100329,Galih Iqbal Pamungkas,896333,1,1,5,5,2,1,3,2,4,41
EMP100330,Kartika Gunawan,729686,3,2,3,6,4,3,2,3,5,25
EMP100331,Julia Tri Hartanto,217008,1,4,1,5,3,1,1,3,1,39
EMP100332,Dewi Maulida,537866,4,1,1,5,5,2,1,1,2,58
EMP100333,Mahendra Putra,554252,4,1,5,5,5,3,3,4,6,47
EMP100334,Sari Maulana,857262,3,2,4,4,1,1,3,3,3,42
EMP100335,Mahendra Pramudita Purnama,567404,4,2,4,5,3,3,1,3,2,66
EMP100336,Evi Pratomo,873097,3,4,1,5,4,3,3,1,6,26
EMP100337,Anisa Situmorang,434979,1,4,2,3,4,2,1,4,1,87
EMP100338,Galih Halim,376354,2,1,4,4,3,3,1,3,5,123
EMP100339,Rafa Pramudita Purnama,506956,3,4,1,3,1,2,1,4,6,53
EMP100340,Rifqi Ginting,213811,4,2,5,4,5,2,1,2,2,59
EMP100341,Lestari Handayani,929554,4,3,6,6,2,3,2,4,1,30
EMP100342,Luthfi Utama Pradana,161705,1,1,1,2,4,1,3,2,1,66
EMP100343,Adit Tamba,959800,3,2,2,6,2,3,3,2,4,80
